FECHA_VST,0,1,2,3,4
2018-02-18,665,664,599,0,1
2018-02-19,664,599,0,1,675
2018-02-20,599,0,1,675,739
2018-02-21,0,1,675,739,722
2018-02-22,1,675,739,722,685
2018-02-23,675,739,722,685,588
2018-02-24,739,722,685,588,0
2018-02-25,722,685,588,0,0
2018-02-26,685,588,0,0,594
2018-02-27,588,0,0,594,594
2018-02-28,0,0,594,594,581
2018-03-01,0,594,594,581,487
2018-03-02,594,594,581,487,0
2018-03-03,594,581,487,0,0
2018-03-04,581,487,0,0,210
2018-03-05,487,0,0,210,462
2018-03-06,0,0,210,462,0
2018-03-07,0,210,462,0,0
2018-03-08,210,462,0,0,0
2018-03-09,462,0,0,0,0
2018-03-10,0,0,0,0,0
2018-03-11,0,0,0,0,0
2018-03-12,0,0,0,0,0
2018-03-13,0,0,0,0,826
2018-03-14,0,0,0,826,779
2018-03-15,0,0,826,779,822
2018-03-16,0,826,779,822,656
2018-03-17,826,779,822,656,0
2018-03-18,779,822,656,0,0
2018-03-19,822,656,0,0,653
2018-03-20,656,0,0,653,546
2018-03-21,0,0,653,546,662
2018-03-22,0,653,546,662,684
2018-03-23,653,546,662,684,570
2018-03-24,546,662,684,570,0
2018-03-25,662,684,570,0,0
2018-03-26,684,570,0,0,686
2018-03-27,570,0,0,686,613
2018-03-28,0,0,686,613,520
2018-03-29,0,686,613,520,353
2018-03-30,686,613,520,353,0
2018-03-31,613,520,353,0,0
2018-04-01,520,353,0,0,494
2018-04-02,353,0,0,494,0
2018-04-03,0,0,494,0,0
2018-04-04,0,494,0,0,253
2018-04-05,494,0,0,253,624
2018-04-06,0,0,253,624,0
2018-04-07,0,253,624,0,0
2018-04-08,253,624,0,0,0
2018-04-09,624,0,0,0,0
2018-04-10,0,0,0,0,0
2018-04-11,0,0,0,0,0
2018-04-12,0,0,0,0,0
2018-04-13,0,0,0,0,479
2018-04-14,0,0,0,479,8
2018-04-15,0,0,479,8,0
2018-04-16,0,479,8,0,717
2018-04-17,479,8,0,717,726
2018-04-18,8,0,717,726,700
2018-04-19,0,717,726,700,684
