FECHA_VST,0,1,2,3,4,5,6,7,8,9,10
2017-07-14,0,0,149,20,246,56,285,59,237,48,587
2017-07-15,149,20,246,56,285,59,237,48,0,0,0
2017-07-16,246,56,285,59,237,48,0,0,0,0,0
2017-07-17,285,59,237,48,0,0,0,0,259,46,678
2017-07-18,237,48,0,0,0,0,259,46,229,45,648
2017-07-19,0,0,0,0,259,46,229,45,235,45,696
2017-07-20,0,0,259,46,229,45,235,45,256,53,682
2017-07-21,259,46,229,45,235,45,256,53,229,45,567
2017-07-22,229,45,235,45,256,53,229,45,0,0,0
2017-07-23,235,45,256,53,229,45,0,0,0,0,0
2017-07-24,256,53,229,45,0,0,0,0,130,22,319
2017-07-25,229,45,0,0,0,0,130,22,271,46,590
2017-07-26,0,0,0,0,130,22,271,46,120,40,502
2017-07-27,0,0,130,22,271,46,120,40,241,53,588
2017-07-28,130,22,271,46,120,40,241,53,209,59,539
2017-07-29,271,46,120,40,241,53,209,59,0,0,0
2017-07-30,120,40,241,53,209,59,0,0,0,0,0
2017-07-31,241,53,209,59,0,0,0,0,146,15,416
2017-08-01,209,59,0,0,0,0,146,15,0,0,0
2017-08-02,0,0,0,0,146,15,0,0,275,0,558
2017-08-03,0,0,146,15,0,0,275,0,285,56,595
2017-08-04,146,15,0,0,275,0,285,56,0,0,0
2017-08-05,0,0,275,0,285,56,0,0,280,71,623
2017-08-06,275,0,285,56,0,0,280,71,258,50,642
2017-08-07,285,56,0,0,280,71,258,50,0,0,0
2017-08-08,0,0,280,71,258,50,0,0,240,58,614
2017-08-09,280,71,258,50,0,0,240,58,162,39,453
2017-08-10,258,50,0,0,240,58,162,39,0,0,0
2017-08-11,0,0,240,58,162,39,0,0,286,38,641
2017-08-12,240,58,162,39,0,0,286,38,270,47,653
2017-08-13,162,39,0,0,286,38,270,47,0,0,0
2017-08-14,0,0,286,38,270,47,0,0,242,63,655
2017-08-15,286,38,270,47,0,0,242,63,250,71,672
2017-08-16,270,47,0,0,242,63,250,71,264,58,637
2017-08-17,0,0,242,63,250,71,264,58,225,73,628
2017-08-18,242,63,250,71,264,58,225,73,192,43,463
2017-08-19,250,71,264,58,225,73,192,43,0,0,0
2017-08-20,264,58,225,73,192,43,0,0,0,0,0
2017-08-21,225,73,192,43,0,0,0,0,206,42,495
2017-08-22,192,43,0,0,0,0,206,42,208,47,481
2017-08-23,0,0,0,0,206,42,208,47,265,47,474
2017-08-24,0,0,206,42,208,47,265,47,272,49,614
2017-08-25,206,42,208,47,265,47,272,49,227,36,411
2017-08-26,208,47,265,47,272,49,227,36,0,0,0
2017-08-27,265,47,272,49,227,36,0,0,0,0,0
2017-08-28,272,49,227,36,0,0,0,0,163,40,466
2017-08-29,227,36,0,0,0,0,163,40,225,37,559
2017-08-30,0,0,0,0,163,40,225,37,211,42,526
2017-08-31,0,0,163,40,225,37,211,42,139,33,447
2017-09-01,163,40,225,37,211,42,139,33,0,0,0
2017-09-02,225,37,211,42,139,33,0,0,273,0,563
2017-09-03,211,42,139,33,0,0,273,0,302,38,599
2017-09-04,139,33,0,0,273,0,302,38,0,0,0
2017-09-05,0,0,273,0,302,38,0,0,260,71,619
2017-09-06,273,0,302,38,0,0,260,71,240,36,572
2017-09-07,302,38,0,0,260,71,240,36,0,0,0
2017-09-08,0,0,260,71,240,36,0,0,226,55,542
2017-09-09,260,71,240,36,0,0,226,55,0,0,0
2017-09-10,240,36,0,0,226,55,0,0,0,0,0
2017-09-11,0,0,226,55,0,0,0,0,282,62,660
2017-09-12,226,55,0,0,0,0,282,62,0,0,0
2017-09-13,0,0,0,0,282,62,0,0,276,49,717
2017-09-14,0,0,282,62,0,0,276,49,286,64,710
2017-09-15,282,62,0,0,276,49,286,64,196,6,470
2017-09-16,0,0,276,49,286,64,196,6,0,0,0
2017-09-17,276,49,286,64,196,6,0,0,0,0,0
2017-09-18,286,64,196,6,0,0,0,0,228,54,545
2017-09-19,196,6,0,0,0,0,228,54,253,49,599
2017-09-20,0,0,0,0,228,54,253,49,244,64,596
2017-09-21,0,0,228,54,253,49,244,64,202,60,566
2017-09-22,228,54,253,49,244,64,202,60,201,45,422
2017-09-23,253,49,244,64,202,60,201,45,0,0,0
