FECHA_VST,0,1,2,3,4,5
2017-04-25,258,0,0,288,291,612
2017-04-26,0,0,288,291,217,530
2017-04-27,0,288,291,217,307,639
2017-04-28,288,291,217,307,306,504
2017-04-29,291,217,307,306,0,0
2017-04-30,217,307,306,0,0,0
2017-05-01,307,306,0,0,0,1
2017-05-02,306,0,0,0,0,0
2017-05-03,0,0,0,0,0,0
2017-05-04,0,0,0,0,291,615
2017-05-05,0,0,0,291,281,525
2017-05-06,0,0,291,281,226,552
2017-05-07,0,291,281,226,19,301
2017-05-08,291,281,226,19,0,0
2017-05-09,281,226,19,0,295,557
2017-05-10,226,19,0,295,343,662
2017-05-11,19,0,295,343,0,0
2017-05-12,0,295,343,0,192,447
2017-05-13,295,343,0,192,0,0
2017-05-14,343,0,192,0,0,0
2017-05-15,0,192,0,0,349,639
2017-05-16,192,0,0,349,376,703
2017-05-17,0,0,349,376,367,761
2017-05-18,0,349,376,367,341,717
2017-05-19,349,376,367,341,256,549
2017-05-20,376,367,341,256,0,0
2017-05-21,367,341,256,0,0,0
2017-05-22,341,256,0,0,257,579
2017-05-23,256,0,0,257,267,624
2017-05-24,0,0,257,267,277,505
2017-05-25,0,257,267,277,272,538
2017-05-26,257,267,277,272,10,20
2017-05-27,267,277,272,10,0,0
2017-05-28,277,272,10,0,0,0
2017-05-29,272,10,0,0,273,561
2017-05-30,10,0,0,273,249,533
2017-05-31,0,0,273,249,192,402
2017-06-01,0,273,249,192,0,0
2017-06-02,273,249,192,0,306,583
2017-06-03,249,192,0,306,0,302
2017-06-04,192,0,306,0,189,450
2017-06-05,0,306,0,189,0,0
2017-06-06,306,0,189,0,228,553
2017-06-07,0,189,0,228,14,310
2017-06-08,189,0,228,14,0,0
2017-06-09,0,228,14,0,219,417
2017-06-10,228,14,0,219,343,594
2017-06-11,14,0,219,343,227,491
2017-06-12,0,219,343,227,247,465
2017-06-13,219,343,227,247,388,684
2017-06-14,343,227,247,388,412,775
2017-06-15,227,247,388,412,397,773
2017-06-16,247,388,412,397,265,597
2017-06-17,388,412,397,265,0,0
2017-06-18,412,397,265,0,0,0
2017-06-19,397,265,0,0,343,668
2017-06-20,265,0,0,343,241,587
2017-06-21,0,0,343,241,336,655
2017-06-22,0,343,241,336,339,554
2017-06-23,343,241,336,339,298,579
2017-06-24,241,336,339,298,0,0
2017-06-25,336,339,298,0,0,0
2017-06-26,339,298,0,0,275,561
2017-06-27,298,0,0,275,278,589
2017-06-28,0,0,275,278,306,597
2017-06-29,0,275,278,306,238,473
2017-06-30,275,278,306,238,207,429
2017-07-01,278,306,238,207,0,0
2017-07-02,306,238,207,0,306,571
2017-07-03,238,207,0,306,32,340
2017-07-04,207,0,306,32,168,486
2017-07-05,0,306,32,168,0,0
2017-07-06,306,32,168,0,330,652
